-108, 476, 1998
13, 112, 1998
133, -465, 1998
292, -1113, 1998
530, -1668, 1998
523, -1855, 1797
375, -1922, 1530
98, -1905, 1166
-229, -1668, 889
-362, -1484, 1097
-532, -1271, 857
-549, -1127, 842
-452, -1010, 655
-373, -873, 491
-222, -823, 381
-119, -764, 175
-119, -764, 175
-38, -651, -73
-35, -453, -276
-105, -214, -411
-203, -28, -483
-259, 91, -586
-328, 258, -561
-410, 463, -567
-454, 643, -607
-504, 729, -621
-542, 804, -453
-518, 938, -248
-476, 1035, -94
-492, 1019, 125
-522, 976, 372
-522, 976, 372
-450, 958, 584
-274, 852, 821
-132, 665, 1101
4, 448, 1469
110, 298, 1822
137, 227, 1971
60, 179, 1998
60, 179, 1998
86, -35, 1998
327, -460, 1998
490, -774, 1998
452, -836, 1974
396, -936, 1896
-,-,-
207, -93, 1819
270, -345, 1935
266, -772, 1998
201, -1104, 1998
46, -1233, 1998
-104, -1207, 1998
-290, -1205, 1982
-378, -1224, 1747
-247, -1239, 1449
-227, -1268, 1213
-157, -1334, 1100
-138, -1293, 819
-155, -1190, 656
-201, -1103, 423
-177, -1052, 65
-110, -898, -444
-67, -830, -762
-224, -797, -709
-631, -571, -519
-841, -285, -551
-892, 40, -838
-845, 344, -1079
-854, 683, -1168
-996, 1028, -889
-1089, 1239, -525
-969, 1208, -241
-736, 1116, 39
-598, 1148, 638
-553, 1187, 1217
-367, 932, 1822
-100, 561, 1998
203, 266, 1998
448, -17, 1998
652, -429, 1998
646, -760, 1993
646, -760, 1993
583, -952, 1998
615, -1192, 1994
636, -1358, 1809
561, -1353, 1531
269, -1169, 1606
69, -969, 1581
7, -870, 1487
13, -787, 1299
106, -719, 1057
93, -635, 860
121, -570, 821
116, -538, 757
116, -538, 757
94, -444, 789
70, -404, 839
47, -386, 864
55, -356, 882
34, -324, 936
-,-,-
-13, 188, 1555
30, 182, 1800
82, -56, 1941
243, -538, 1993
472, -1018, 1990
640, -1302, 1887
640, -1302, 1887
580, -1335, 1764
398, -1215, 1638
168, -1059, 1455
-25, -951, 1350
-41, -944, 1268
-91, -916, 1012
-10, -1075, 1052
73, -1247, 860
98, -1281, 717
112, -1234, 444
166, -1247, 149
200, -1185, -85
233, -1053, -299
172, -904, -398
1, -740, -442
-256, -510, -448
-482, -250, -360
-678, 41, -331
-678, 41, -331
-826, 294, -344
-923, 470, -363
-949, 622, -292
-916, 743, -171
-916, 905, 102
-885, 1104, 383
-720, 1291, 727
-448, 1387, 905
-165, 1377, 1230
134, 1182, 1514
475, 793, 1890
696, 510, 1998
696, 510, 1998
879, 102, 1998
982, -457, 1998
906, -763, 1991
772, -1000, 1991
847, -1466, 1727
759, -1629, 1530
418, -1422, 1357
101, -1298, 1454
70, -1341, 1352
55, -1319, 1210
39, -1079, 1069
-23, -742, 968
-61, -502, 847
-22, -403, 819
25, -366, 762
25, -366, 762
70, -339, 836
66, -314, 915
-,-,-
-81, -170, 967
-89, -111, 965
-93, -59, 923
-93, -59, 923
-85, 17, 877
-51, 191, 876
26, 588, 910
-16, 1189, 1092
-115, 1562, 1543
-266, 1526, 1970
-452, 980, 1998
-452, 980, 1998
-527, 60, 1998
-433, -875, 1998
-328, -1732, 1998
-261, -1998, 1998
-312, -1998, 1949
-442, -1998, 1453
-503, -1953, 979
-568, -1833, 803
-604, -1724, 763
-613, -1506, 514
-624, -1226, 239
-547, -876, -209
-558, -395, -570
-622, 22, -773
-828, 292, -704
-960, 432, -534
-929, 643, -658
-816, 728, -857
-829, 869, -839
-1048, 1329, -398
-1135, 1864, -141
-1163, 1997, 390
-1054, 1997, 965
-748, 1707, 1404
-190, 1017, 1757
277, 366, 1992
377, -105, 1998
390, -664, 1998
576, -1234, 1998
678, -1509, 1998
668, -1654, 1936
545, -1654, 1667
407, -1744, 1535
254, -1787, 1524
157, -1506, 1390
120, -1117, 1170
135, -751, 913
166, -495, 811
163, -329, 876
163, -329, 876
126, -200, 959
67, -82, 988
24, -6, 1022
-3, 18, 1076
-3, 18, 1076
2, 13, 1057
8, -10, 1017
-22, -64, 1013
-,-,-
27, 640, 1324
89, 602, 1672
155, 226, 1998
197, -396, 1998
37, -961, 1998
37, -961, 1998
-226, -1302, 1998
-490, -1579, 1998
-704, -1886, 1998
-778, -1998, 1857
-580, -1998, 474
-551, -1943, -6
-551, -1943, -6
-578, -1596, -330
-557, -1327, -654
-579, -1060, -830
-762, -386, -456
-749, -129, -515
-789, 201, -467
-789, 201, -467
-818, 482, -280
-778, 654, -562
-678, 967, -650
-632, 1294, -164
-721, 1615, 491
-721, 1934, 819
-427, 1953, 688
4, 1674, 582
258, 1390, 870
303, 1375, 1282
470, 1055, 1318
719, 759, 1278
719, 759, 1278
702, 266, 1545
396, 61, 1922
255, -417, 1989
317, -1041, 1747
79, -1280, 1684
-202, -1432, 1952
-322, -1678, 1997
-276, -1754, 1962
