58, -176, 1830
151, -534, 1987
194, -774, 1998
156, -889, 1998
43, -891, 1984
-86, -829, 1789
-192, -782, 1551
-228, -760, 1356
-218, -749, 1122
-154, -744, 885
-98, -705, 586
15, -647, 445
15, -647, 445
73, -609, 220
96, -526, 105
83, -417, 29
35, -237, -60
35, -237, -60
3, -20, -115
7, 134, -136
74, 200, -95
145, 256, -4
145, 256, -4
191, 352, 89
211, 465, 144
239, 566, 120
260, 645, 128
260, 645, 128
244, 723, 154
234, 803, 241
252, 811, 286
273, 787, 364
270, 763, 442
270, 763, 442
242, 812, 491
214, 822, 642
200, 783, 784
189, 732, 875
189, 732, 875
165, 667, 1040
164, 617, 1226
126, 569, 1342
44, 547, 1493
-,-,-
79, 125, 953
63, 256, 1020
61, 415, 998
61, 415, 998
65, 439, 1012
59, 411, 1038
75, 416, 1045
83, 415, 1029
83, 415, 1029
69, 401, 1082
84, 349, 1122
94, 297, 1139
116, 221, 1171
149, 108, 1226
149, 108, 1226
174, 22, 1258
207, -64, 1250
232, -146, 1257
253, -215, 1352
232, -264, 1428
189, -261, 1422
178, -255, 1339
175, -257, 1262
189, -297, 1183
166, -313, 1192
166, -313, 1192
134, -373, 1153
156, -397, 1078
156, -384, 990
148, -377, 904
166, -394, 827
194, -394, 789
211, -375, 754
211, -331, 738
219, -343, 683
219, -343, 683
210, -313, 645
200, -233, 608
205, -165, 582
223, -119, 588
251, -150, 553
202, -119, 601
162, 3, 650
162, 3, 650
138, 96, 607
105, 167, 502
27, 236, 457
27, 236, 457
-56, 314, 470
-93, 367, 486
-87, 411, 473
-48, 375, 335
-4, 375, 258
-4, 375, 258
-57, 424, 272
-131, 557, 439
-176, 623, 611
-202, 681, 873
-229, 670, 1114
-229, 670, 1114
-219, 655, 1265
-201, 671, 1406
-167, 618, 1529
-158, 456, 1724
-142, 326, 1840
-133, 288, 1926
-84, 183, 1890
-12, 38, 1735
-32, 21, 1612
-67, 41, 1430
-67, 41, 1430
-68, -24, 1255
-25, -155, 1129
30, -296, 1018
142, -445, 917
219, -583, 882
211, -637, 958
-,-,-
-25, -71, 1287
-5, -7, 1383
5, 38, 1316
5, 38, 1316
-13, 38, 1357
-15, -75, 1366
-17, -149, 1408
2, -169, 1438
2, -169, 1438
29, -204, 1430
81, -295, 1390
95, -354, 1372
83, -325, 1373
66, -310, 1387
34, -296, 1371
40, -367, 1245
40, -367, 1245
99, -420, 1104
138, -377, 1055
136, -424, 1064
100, -486, 1081
63, -545, 1050
77, -674, 984
82, -670, 967
110, -658, 767
110, -658, 767
150, -600, 656
182, -556, 590
232, -536, 521
237, -486, 576
219, -408, 568
216, -325, 485
269, -265, 406
269, -265, 406
278, -192, 416
273, -88, 434
317, 21, 403
312, 90, 421
192, 145, 475
192, 145, 475
76, 202, 514
66, 258, 476
126, 292, 415
28, 291, 462
28, 291, 462
-105, 362, 587
-146, 435, 604
-81, 468, 551
6, 476, 469
6, 476, 469
-46, 494, 541
-148, 522, 714
-191, 487, 816
-153, 488, 787
-99, 521, 695
-99, 521, 695
-205, 575, 894
-338, 574, 1136
-361, 513, 1191
-284, 456, 1123
-193, 398, 1050
-208, 407, 1207
-163, 287, 1383
-101, 48, 1570
-59, -101, 1923
-101, -238, 1998
-,-,-
-42, 134, 1118
-85, 211, 1139
-90, 200, 1052
-100, 154, 1044
-90, 120, 1092
-63, 39, 1106
-63, 39, 1106
-15, -43, 1074
21, -91, 1112
59, -197, 1177
75, -305, 1236
109, -397, 1265
169, -490, 1216
199, -541, 1209
199, -541, 1209
175, -620, 1253
131, -649, 1281
103, -605, 1228
88, -583, 1143
74, -612, 1119
110, -666, 1100
135, -670, 1053
157, -668, 974
170, -641, 939
181, -624, 913
182, -572, 896
182, -572, 896
178, -512, 894
175, -503, 941
199, -510, 958
242, -505, 897
258, -472, 835
255, -434, 793
244, -421, 744
244, -421, 744
237, -397, 689
216, -377, 602
241, -323, 478
242, -209, 361
228, -132, 344
182, -67, 301
161, -39, 213
161, -39, 213
154, 8, 224
205, 94, 286
168, 167, 307
82, 220, 351
82, 220, 351
-2, 221, 409
-16, 273, 483
-19, 377, 539
-19, 377, 539
-113, 511, 621
-208, 618, 692
-212, 667, 759
-128, 630, 789
-123, 545, 836
-180, 508, 969
-259, 480, 1071
-332, 513, 1148
-332, 513, 1148
-353, 534, 1131
-325, 476, 1139
-329, 451, 1232
-283, 393, 1337
-290, 276, 1537
-269, 156, 1638
-156, 47, 1677
3, -147, 1658
109, -307, 1625
125, -387, 1563
161, -451, 1469
139, -573, 1412
-,-,-
4, -27, 1026
4, -27, 1026
34, -3, 1087
13, 3, 1167
-22, 10, 1276
-22, 10, 1276
-55, 28, 1404
-69, -42, 1451
-76, -155, 1505
-54, -304, 1536
-24, -380, 1523
-10, -454, 1491
17, -591, 1455
78, -744, 1372
163, -824, 1218
163, -824, 1218
221, -833, 1135
176, -773, 1160
128, -818, 1200
81, -859, 1169
82, -808, 1006
149, -832, 821
205, -899, 812
246, -881, 769
252, -834, 679
259, -752, 597
259, -752, 597
284, -698, 486
296, -645, 405
283, -557, 349
246, -466, 339
242, -427, 366
247, -413, 368
263, -380, 352
263, -380, 352
259, -283, 377
244, -182, 421
252, -131, 443
291, -98, 427
362, -41, 399
366, 18, 417
366, 18, 417
327, 73, 503
296, 117, 535
336, 146, 509
395, 163, 495
395, 163, 495
379, 171, 556
283, 190, 668
183, 233, 735
175, 303, 722
191, 363, 682
191, 363, 682
127, 429, 683
38, 510, 711
23, 498, 676
96, 419, 622
96, 419, 622
158, 301, 538
164, 215, 535
104, 170, 594
40, 159, 695
40, 159, 695
10, 181, 802
62, 246, 718
37, 304, 759
37, 304, 759
-59, 365, 935
-254, 376, 1292
-331, 442, 1718
-342, 315, 1951
-258, 119, 1885
-173, 0, 1810
-15, -212, 1728
193, -515, 1663
193, -515, 1663
271, -759, 1730
285, -785, 1615
142, -647, 1443
-31, -440, 1283
-75, -464, 1128
-36, -638, 1087
-15, -665, 1079
50, -692, 930
159, -739, 742
209, -747, 674
190, -707, 692
-,-,-
-30, -45, 1065
47, -68, 1219
20, -121, 1414
20, -121, 1414
-66, -181, 1637
-76, -241, 1662
-29, -350, 1541
16, -454, 1426
67, -544, 1302
134, -647, 1165
193, -786, 1099
283, -927, 1058
345, -1044, 1000
357, -1097, 951
361, -1121, 939
340, -1111, 986
340, -1111, 986
283, -1085, 937
229, -1049, 834
214, -966, 761
221, -923, 681
217, -873, 680
211, -783, 693
234, -674, 657
283, -582, 612
274, -525, 680
274, -525, 680
209, -503, 733
162, -463, 680
144, -429, 509
152, -353, 367
164, -297, 233
143, -215, 193
139, -153, 144
139, -153, 144
135, -96, 98
177, 9, 79
214, 126, 101
198, 187, 179
198, 187, 179
136, 217, 284
148, 254, 329
221, 313, 364
249, 337, 418
156, 359, 507
156, 359, 507
48, 404, 683
0, 464, 819
65, 501, 752
65, 501, 752
159, 558, 697
135, 554, 795
12, 563, 1076
-101, 563, 1215
-143, 430, 1272
-137, 383, 1168
-139, 297, 1109
-139, 297, 1109
-105, 373, 1202
-176, 268, 1208
-152, 250, 1242
-66, 164, 1246
-55, 123, 1286
-28, 62, 1287
-13, -46, 1387
14, -173, 1433
35, -277, 1475
35, -277, 1475
83, -366, 1523
150, -526, 1479
216, -713, 1371
252, -821, 1388
227, -851, 1388
193, -835, 1311
194, -881, 1152
190, -936, 981
131, -896, 948
-,-,-
74, 50, 987
71, 65, 953
80, 102, 965
80, 102, 965
37, 191, 989
-16, 262, 976
-88, 316, 1003
-98, 326, 1049
-51, 236, 1093
-51, 236, 1093
8, 133, 1129
77, 6, 1191
192, -172, 1286
256, -346, 1467
212, -540, 1676
171, -747, 1728
176, -879, 1620
145, -900, 1443
145, -900, 1443
137, -903, 1240
